Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
AZ-W-269,"STALTARI, WILLIAM JOSEPH",SAN DOMINIQUE WINERY,YAVAPAI CTY. HWY. 17 & ARIZONA RT. 169,CAMP VERDE,AZ,86322,0000,MARICOPA,34.5142454,-111.8022263
AZ-W-272,ARTHUR BURDON OCHELTREE,ARIZONA VINEYARDS,1830 PATAGONIA HWY,NOGALES,AZ,85621,0000,SANTA CRUZ,31.3563004,-110.9174185
AZ-W-273,"SONOITA VINEYARDS, LTD.",SONOITA VINEYARDS,"ON CONELO ROAD, 2.75 MI. SW OF ELGIN",ELGIN,AZ,85611,0000,PIMA,31.6598128,-110.5253565
AZ-W-286,LESCO ENTERPRISES INC.,FT BOWIE VINEYARDS & ORCHARD PRODUCTS,156 N JEFFERSON,BOWIE,AZ,85605,0000,COCHISE,32.3271159,-109.487766
AZ-W-288,"DOMAINES ELLAM, INC.",THE VILLAGE OF ELGIN WINERY,471 ELGIN RD,ELGIN,AZ,85611,0000,PIMA,31.6589562,-110.5386791
AZ-W-289,CHRISTINE A. WOLFE,GRAND CANYON MEADERY,1600 E 2ND ST,WINSLOW,AZ,86047,4456,NAVAJO,35.017065,-110.682215
AZ-W-290,"AMIGOS DE VINO, INC.",ECHO CANYON VINEYARD & WINERY,3222 N ECHO CANYON RD,CORNVILLE,AZ,86325,0000,YAVAPAI,34.7876599,-111.9006882
AZ-W-291,"OAK CREEK VINEYARDS & WINERY, INC",OAK CREEK VINEYARDS & WINERY,1555 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,6009,YAVAPAI,34.759246,-111.887833
AZ-W-296,"COLIBRI VINEYARD AND WINERY, L.L.C.",COLIBRI VINEYARD AND WINERY,2825 W HILLTOP RD,PORTAL,AZ,85632,8021,COCHISE,32.0886486,-109.140438
AZ-W-15000,"PAGE SPRINGS CELLARS, INC",PAGE SPRINGS CELLARS,1500 N PAGE SPRINGS RD,CORNVILLE,AZ,86325,6008,YAVAPAI,34.7441964,-111.8891234
AZ-W-15001,CHRISTOPHER CARY HAMILTON,RANCHO ROSSA VINEYARDS,201 CATTLE RANCH LN.,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6598128,-110.5253565
AZ-W-15002,ROBIN HOULT,GRANITE CREEK VINEYARDS,1145 E GRANITE CREEK LN,CHINO VALLEY,AZ,86323,5419,YAVAPAI,34.7840332,-112.4444691
AZ-W-15003,"PARADISE PRODUCE, LLC",FREITAS VINEYARD,1575 PARADISE  DR,COTTONWOOD,AZ,86326,4796,YAVAPAI,34.7114112,-112.0228743
AZ-W-15004,KEELING SCHAEFER VINEYARDS LLC,,10277 E ROCK CREEK LN,PEARCE,AZ,85625,6088,COCHISE,31.8940727,-109.4715542
AZ-W-15005,"AMIGOS DE VINO, INC.",CROP CIRCLE VINEYARD AND WINERY,3052 N FT GRANT RD,WILLCOX,AZ,85643,3019,COCHISE,32.293601,-109.87498
