Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
CA-W-3088,"JOSEPH KIRKWOOD REID, JR.",REID FAMILY VINEYARDS,1020 BORRETTE LN,NAPA,CA,94558,9702,NAPA,38.314158,-122.348152
CA-W-3089,JAMES ARTHUR BROWN,SIERRA OAKS ESTATES,3900 TAWANKA RD,MT AUKUM,CA,95656,0000,EL DORADO,38.5503,-120.7307
CA-W-3091,"EAGLE CASTLE WINERY, LLC",EAGLE CASTLE WINERY,3090 ANDERSON RD,PASO ROBLES,CA,93446,0000,SAN LUIS OBISPO,35.575149,-120.732806
CA-W-3093,"Q4X, LLC",FOUR VINES WINERY,7300 NORTH RIVER RD,PASO ROBLES,CA,93446,7101,SAN LUIS OBISPO,35.7074015,-120.6806879
CA-W-3094,"BIGHORN CELLARS, LLC",BIGHORN CELLARS,3105 SILVERADO TRL,NAPA,CA,94558,0000,NAPA,38.3452638,-122.2829489
CA-W-3096,TODD A. BOORMAN,BOORMAN VINEYARDS,21630 AVENIDA DE ARBOLES,MURRIETA,CA,92562,8881,RIVERSIDE,33.568118,-117.287792
CA-W-3098,BRASSFIELD ESTATE WINERY LLC,BRASSFIELD ESTATE WINERY,10915 HIGH VALLEY RD,CLEARLAKE OAKS,CA,95423,8526,LAKE,39.057982,-122.711123
CA-W-3102,"PHILIP TOGNI VINEYARD, LP",,3780 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,9677,NAPA,38.52175,-122.536277
CA-W-3103,"LA FORZA WINERY, LLC",LA FILICE WINERY,2425 MISSION  ST,SAN MIGUEL,CA,93451,9556,SAN LUIS OBISPO,35.763826,-120.698485
CA-W-3105,"ROBERT YOUNG ESTATE WINERY, LLC",ROBERT YOUNG ESTATE WINERY,4960 RED WINERY RD,GEYSERVILLE,CA,95441,9573,SONOMA,38.6930497,-122.8264381
CA-W-3107,"MARTIN RAY WINERY, INC",M. RAY WINERY,2191 LAGUNA RD,SANTA ROSA,CA,95401,3705,SONOMA,38.4691726,-122.8488373
CA-W-3108,"STARR MILANO, INC.",MILANO WINERY,14594 S HIGHWAY 101,HOPLAND,CA,95449,9708,MENDOCINO,38.9575562,-123.1091942
CA-W-3109,KENDYL COAST CORPORATION,OBESTER WINERY & GARDENS,12341 SAN MATEO RD,HALF MOON BAY,CA,94019,7113,SAN MATEO,37.480181,-122.405604
CA-W-3113,"BOKISCH RANCHES, LLC",BOKISCH VINEYARDS,8751 E HIGHWAY 12,VICTOR,CA,95240,0000,SAN JOAQUIN,38.138961,-121.208115
CA-W-3114,"GRANDS AMIS, INC.",GRANDS AMIS,1370 E TURNER RD,LODI,CA,95240,0760,SAN JOAQUIN,38.1447495,-121.2498129
CA-W-3115,DKCELLARS,,7380 VINEYARD VIEW DR,FAIR PLAY,CA,95684,9242,EL DORADO,38.607224,-120.640918
CA-W-3119,GARRY & NANCY RODRIGUE,RODRIGUE MOLYNEAUX WINERY,3053 MARINA AVE,LIVERMORE,CA,94550,9602,ALAMEDA,37.65535,-121.757227
CA-W-3124,"SARACINA VINEYARDS, LLC",SARACINA VINEYARDS,11684 HIGHWAY 101,HOPLAND,CA,95449,0000,MENDOCINO,38.9405594,-123.0769575
CA-W-3128,MICHAEL R. BROWN,KALYRA,343 N REFUGIO RD,SANTA YNEZ,CA,93460,9302,SANTA BARBARA,34.597604,-120.0982768
CA-W-3129,KENNETH & SUSAN JEVEC / RENALD & CATHERINE ANELLE,BELLAROSA VINEYARDS,3750 W HIGHWAY 46,TEMPLETON,CA,93465,8790,SAN LUIS OBISPO,35.5351335,-120.8485859
CA-W-3130,"KELSEY SEE CANYON VINEYARDS, INC.",KELSEY SEE CANYON VINEYARDS,1945 SEE CANYON RD,SAN LUIS OBISPO,CA,93405,8023,SAN LUIS OBISPO,35.207384,-120.718164
CA-W-3131,"NICKEL & NICKEL VINEYARDS, LLC",,8164 ST HELENA HWY,OAKVILLE,CA,94558,0000,NAPA,38.444414,-122.404952
CA-W-3133,"HIRSCH WINERY, LLC",HIRSCH WINERY,45075 BOHAN DILLON RD,CAZADERO,CA,95421,9659,SONOMA,38.5759383,-123.26014
CA-W-3135,"THE VINEYARDS OF PATRICIA & PETER LENZ, LTD.",SLAUGHTERHOUSE WINERY,280 CHIQUITA RD,HEALDSBURG,CA,95448,9621,SONOMA,38.635892,-122.879
CA-W-3139,LE VIGNE DI SAN DOMENICO,,5115 BUENA VISTA DR,PASO ROBLES,CA,93446,9535,SAN LUIS OBISPO,35.6737924,-120.6571998
CA-W-3143,VAROZZA VINEYARDS LLC,,514 PRATT AVE,SAINT HELENA,CA,94574,1055,NAPA,38.5161919,-122.4730459
CA-W-3144,RONALD & NANCY TENUTA,TENUTA VINEYARDS,633 KALTOFF COMMONS,LIVERMORE,CA,94550,0000,ALAMEDA,37.6818745,-121.7680088
CA-W-3146,DEL DOTTO VINEYARDS,,1055 ATLAS PEAK RD,NAPA,CA,94558,1501,NAPA,38.3395626,-122.2626323
CA-W-3147,MICHAEL J. FAUL,RABBITS FOOT MEADERY,1246 BIRCHWOOD DR,SUNNYVALE,CA,94089,2205,SANTA CLARA,37.4044669,-121.991967
CA-W-3148,"TWIN PEAKS WINERY, INC.",SAV WINERY,1473 YOUNTVILLE CROSS RD,YOUNTVILLE,CA,94599,9471,NAPA,38.4101784,-122.3622116
CA-W-3149,ZARIF COMPANIES,,2717 AVIATION WAY,SANTA MARIA,CA,93455,1505,SANTA BARBARA,34.91023,-120.450199
CA-W-3151,"TWIN OAKS VALLEY VINTNERS, LLC",,1575 MULBERRY DR,SAN MARCOS,CA,92069,1150,SAN DIEGO,33.1704669,-117.1501609
CA-W-3152,JOSEPH & ANNA GATES,CATANO WINERY,2861 MURRAY RIDGE RD,SAN ANDREAS,CA,95249,0000,CALAVERAS,38.208069,-120.672465
CA-W-3153,"BODEGAS AGUIRRE, LLC",,8580 TESLA RD,LIVERMORE,CA,94550,9723,ALAMEDA,37.668928,-121.689676
CA-W-3155,ANDERSON/MALLOY WINERY,,1482 INEZ WAY,REDWOOD VALLEY,CA,95470,6185,MENDOCINO,39.291616,-123.231615
CA-W-3157,"BOAVENTURA DE CAIRES, INC",BOAVENTURA VINEYARDS,9309 TESLA RD,LIVERMORE,CA,94550,9748,ALAMEDA,37.662203,-121.67559
CA-W-3158,"TRINITY VALLEY VINEYARDS, LLC",TRINITY VALLEY VINEYARDS,1780 27TH ST,ARCATA,CA,95521,5004,HUMBOLDT,40.889364,-124.093993
CA-W-3159,"LATCHAM GRANITE, INC.",LATCHAM VINEYARDS,2860 OMO RANCH RD,SOMERSET,CA,95684,9204,EL DORADO,38.565295,-120.705693
CA-W-3160,"LATCHAM GRANITE, INC.",GRANITE SPRINGS WINERY,5050 GRANITE SPRINGS RD,SOMERSET,CA,95684,0000,EL DORADO,38.606867,-120.678438
CA-W-3161,"MCM VINEYARDS, LLC",PERBACCO CELLARS,1850 CALLE JOAQUIN,SAN LUIS OBISPO,CA,93405,7212,SAN LUIS OBISPO,35.23455,-120.6881232
CA-W-3162,"CALCAREOUS VINEYARD, LLC",CALCAREOUS WINERY,3430 PEACHY CANYON RD,PASO ROBLES,CA,93446,1685,SAN LUIS OBISPO,35.627139,-120.751011
CA-W-3164,MYSTERY CELLARS,,2717 AVIATION WAY,SANTA MARIA,CA,93455,1505,SANTA BARBARA,34.91023,-120.450199
CA-W-3165,"SELBY ENTERPRISES, INC.",SELBY WINERY,5 FITCH ST,HEALDSBURG,CA,95448,4435,SONOMA,38.607725,-122.867021
CA-W-3167,"DE TIERRA VINEYARD, LLC",,503 CORRAL DE TIERRA RD,SALINAS,CA,93908,8950,MONTEREY,36.52677,-121.682833
CA-W-3168,"VINO CON BRIO, LLC",VINO CON BRIO,1370 E TURNER RD,LODI,CA,95240,0000,SAN JOAQUIN,38.1447495,-121.2498129
CA-W-3171,PAUL A. ROOZEN,DEPARO VINEYARDS,29119 AVENUE 17B,PORTERVILLE,CA,93258,0000,TULARE,36.052672,-119.144413
CA-W-3172,JOHN V. CHIARITO,CHIARITO VINEYARD,2651 MILL CREEK RD,UKIAH,CA,95482,6190,MENDOCINO,39.128496,-123.152428
CA-W-3173,HUNEEUS VINTNERS LLC,QUINTESSA WINERY,1601 SILVERADO TRL,RUTHERFORD,CA,94574,0000,NAPA,38.487641,-122.409671
CA-W-3174,JOHN A. HOLDREDGE & CARRI J. O'LOUGHLIN,HOLDREDGE WINES,51 FRONT ST,HEALDSBURG,CA,95448,4437,SONOMA,38.6056795,-122.8615519
CA-W-3175,"SAPPHIRE HILL VINEYARDS, LLC",SAPPHIRE HILL WINERY,51 A FRONT ST,HEALDSBURG,CA,95448,1111,SONOMA,38.6056795,-122.8615519
CA-W-3176,"BERGHOLD WINE SALES, LLC",BERGHOLD VINEYARDS,17343  N CHERRY RD,LODI,CA,95240,0000,SAN JOAQUIN,38.1379229,-121.2107744
CA-W-3179,"BENT CREEK WINERY, LLC",BENT CREEK WINERY,5455 GREENVILLE RD,LIVERMORE,CA,94550,6702,ALAMEDA,37.6525849,-121.6966323
CA-W-3181,HALTER WINERY LLC,HALTER WINERY,8910 ADELAIDA RD,PASO ROBLES,CA,93446,8798,SAN LUIS OBISPO,35.6359443,-120.8572825
CA-W-3182,TERRY H. & NANCY KLEIN,ALLORA VINEYARDS,3244 EHLERS LN,SAINT HELENA,CA,94574,9657,NAPA,38.536408,-122.494389
CA-W-3183,COLGIN PARTNERS LLC,,220 LONG RANCH RD,SAINT HELENA,CA,94574,9714,NAPA,38.470856,-122.34458
CA-W-3184,OPHIR WINES LLC,OPHIR WINES,8030 WOODMAN LN,NEWCASTLE,CA,95658,9466,PLACER,38.898952,-121.153259
CA-W-3185,IRISH VINEYARDS,,2849 HIGHWAY 4,VALLECITO,CA,95251,9705,CALAVERAS,38.097243,-120.470692
CA-W-3186,CLAUTIERE LLC,CLAUTIERE VINEYARD,1340 PENMAN SPRINGS RD,PASO ROBLES,CA,93446,9361,SAN LUIS OBISPO,35.6210598,-120.614798
CA-W-3187,MATTHEW A. & MAUREEN M. TREVISAN,LINNE CALODO CELLARS,3845 OAKDALE RD,PASO ROBLES,CA,93446,8658,SAN LUIS OBISPO,35.5581476,-120.7689053
CA-W-3189,MICHAEL & LYNNE MUCCIGROSSO,MUCCIGROSSO VINEYARDS,21450 BEAR CREEK RD,LOS GATOS,CA,95033,9434,SANTA CRUZ,37.1682292,-122.0472948
CA-W-3190,"MODERN DEVELOPMENT COMPANY, LP; G.A. BIANCHI AND D.J. RANSOM, GENERAL PARTNER",BIANCHI VINEYARDS,3380 BRANCH RD,PASO ROBLES,CA,93446,8314,SAN LUIS OBISPO,35.650417,-120.576396
CA-W-3191,"RABBIT RIDGE WINE SALES, INC.",RABBIT RIDGE VINEYARDS,1172 SAN MARCOS RD,PASO ROBLES,CA,93446,7343,SAN LUIS OBISPO,35.700598,-120.722409
CA-W-3192,"FREEMAN FAMILY WINERY, LLC",FREEMAN FAMILY WINERY,1300 MONTGOMERY RD,SEBASTOPOL,CA,95472,3031,SONOMA,38.4088614,-122.8814176
CA-W-3193,"OLDKB, LLC",,2064 GRAVENSTEIN  HWY N,SEBASTOPOL,CA,95472,2631,SONOMA,38.4250905,-122.8481297
CA-W-3194,"SILKWOOD WINES, LLC.",SILKWOOD WINES,3006 YOSEMITE BLVD,MODESTO,CA,95354,4176,STANISLAUS,37.6381484,-120.9386303
CA-W-3195,LAWRENCE ANDREW CELLARS,VIA VEGA WINERY,2378 ADOBE RD,PASO ROBLES,CA,93446,9524,SAN LUIS OBISPO,35.686475,-120.653067
CA-W-3196,PETER R. & MARYBETH SMIDERLE,MONICLAIRE,1750 LYTTON SPRINGS RD,HEALDSBURG,CA,95448,9780,SONOMA,38.654268,-122.9071
CA-W-3197,"MCMASTER WINE GROUP, INC.",ARGONAUT WINERY,13825 WILLOW CREEK RD,IONE,CA,95640,9716,AMADOR,38.411394,-120.906004
CA-W-3198,"BROWN ESTATE VINEYARDS, LLC",BROWN ESTATE VINEYARDS,3233 SAGE CANYON RD,SAINT HELENA,CA,94574,9642,NAPA,38.503074,-122.281184
CA-W-3201,NICK ANGELO BUTTITTA,ROSA D'ORO VINEYARDS,3155 MERRITT RD,KELSEYVILLE,CA,95451,9242,LAKE,38.981352,-122.853163
CA-W-3202,"KOEHLER WINERY, LLC",,5360 FOXEN CANYON RD,LOS OLIVOS,CA,93441,0000,SANTA BARBARA,34.729911,-120.129651
CA-W-3207,"VINEYARD 29, LLC",VINEYARD 29 CELLARS,2929 SAINT HELENA HWY,SAINT HELENA,CA,94574,0000,NAPA,38.5206522,-122.4929724
CA-W-3208,"SOUTH COAST WINERY, INC.",,34843 RANCHO CALIFORNIA RD,TEMECULA,CA,92591,4006,RIVERSIDE,33.5352171,-117.0541944
CA-W-3212,"ZAHTILA VINEYARDS, INC.",ZAHTILA VINEYARDS,2250 LAKE COUNTY HWY,CALISTOGA,CA,94515,1143,NAPA,38.591319,-122.578561
CA-W-3213,"DUNAH WINERY,  LLC",DUNAH WINERY,2064 GRAVENSTEIN HWY N,SEBASTOPOL,CA,95472,2612,SONOMA,38.4250905,-122.8481297
CA-W-3214,"MOUNT ST. HELENA WINERY, LLC",MOUNT ST. HELENA WINERY,20963 HIGHWAY 175,MIDDLETOWN,CA,95461,9515,LAKE,38.752039,-122.630778
CA-W-3216,DEBORAH LEE MORTON,COLIN LEE VINEYARDS AND WINERY,1189 LAWNDALE RD,KENWOOD,CA,95452,9035,SONOMA,38.418646,-122.576688
CA-W-3217,GERARDO CORDIANO AND ROSAMARIA CORDIANO,CORDIANO WINERY,15732 HIGHLAND VALLEY RD,ESCONDIDO,CA,92025,3535,SAN DIEGO,33.068116,-116.991445
CA-W-3218,THOMAS E. DILLIAN LAVONNE J. DILLIAN,DILLIAN WINES,12138 STEINER RD,PLYMOUTH,CA,95669,9502,AMADOR,38.5383349,-120.797552
CA-W-3219,MICHELLE R. ELAINE & DYLAN C. GRAY,LLUVIA WINERY,4185 BUSH AVE,MCKINLEYVILLE,CA,95519,9414,HUMBOLDT,40.981485,-124.099423
CA-W-3220,"SUNLAND ENTERPRISES, LLC",SALERNO WINERY,17948 HIGHWAY 67,RAMONA,CA,92065,7312,SAN DIEGO,33.010589,-116.919303
CA-W-3221,"JOEL GOTT WINES, LLC",JOEL GOTT WINES,"7830-40 ST. HELENA HWY, SUITE A",OAKVILLE,CA,94558,0000,NAPA,38.436109,-122.396589
CA-W-3222,"MONTEREY WINE COMPANY, LLC",,1010 INDUSTRIAL WAY,KING CITY,CA,93930,2506,MONTEREY,36.2358658,-121.1062014
CA-W-3223,"DF WINES, INC.",DOWNING FAMILY VINEYARDS,"7830-40 ST. HELENA HWY, SUITE 9",OAKVILLE,CA,94558,0000,NAPA,38.436109,-122.396589
CA-W-3226,"VINATIERI VINEYARDS, LLC",VINATIERI VINEYARDS,860 KAISER RD,NAPA,CA,94558,7508,NAPA,38.25812,-122.272532
CA-W-3228,"LAS MADRONAS VINEYARDS, LLC",LAS MADRONAS WINERY,2190 THORNSBERRY RD,SONOMA,CA,95476,4888,SONOMA,38.289581,-122.418019
CA-W-3232,"WEND-TYLER WINERY, INC.",WEND-TYLER WINERY,8737 SHOEMAKER AVE,MODESTO,CA,95358,8401,STANISLAUS,37.6390972,-120.9968782
CA-W-3233,"SPANOS-BERBERIAN WINERY, LLC",BELL WINE CELLARS,6200 WASHINGTON ST,YOUNTVILLE,CA,94599,0000,NAPA,38.4041085,-122.364693
CA-W-3234,"KENNETH-CRAWFORD WINES, LLC",KENNETH CRAWFORD WINES,59  INDUSTRIAL  WAY,BUELLTON,CA,93427,0000,SANTA BARBARA,34.611136,-120.202758
CA-W-3235,JASON J. AND MOLLY N. DREW,DREW FAMILY CELLARS,31351 PHILO-GREENWOOD RD,ELK,CA,95432,0000,MENDOCINO,39.133183,-123.648349
CA-W-3237,"CHARLES CREEK CELLARS, LLC",CHARLES CREEK,9119 GRATON RD,GRATON,CA,95444,0000,SONOMA,38.4362219,-122.8697148
CA-W-3238,GEMIGNANI WINERY,GENEROSA WINERY,22649 SUMMIT RD,LOS GATOS,CA,95033,0000,SANTA CRUZ,37.1231182,-121.9359574
CA-W-3239,G.J. ROGERS AND DIANE G. ROGERS,SHASTA VIEW VINEYARDS,5100 AGER RD,MONTAGUE,CA,96064,9597,SISKIYOU,41.797078,-122.513291
CA-W-3240,"QUAIL NEST, LLC",,8195 CRANE RIDGE RD,LIVERMORE,CA,94550,0000,ALAMEDA,37.641007,-121.694544
CA-W-3241,JEFFREY M. BARRANTI,J.M. BARRANTI VINEYARDS,24842 SKYLAND RD,LOS GATOS,CA,95033,8160,SANTA CRUZ,37.108861,-121.925526
CA-W-3242,"DEL BONDIO WINE COMPANY, LLC",DEL BONDIO WINE COMPANY,1315 BELLA OAKS LN,NAPA,CA,94574,9364,NAPA,38.4473044,-122.4182983
CA-W-3243,HUNTER WINE CELLARS LLC,HUNTER WINE CELLARS,2064 116 HWY N,SEBASTOPOL,CA,95436,0000,SONOMA,38.4704821,-122.9066741
CA-W-3244,"CRYSTAL BASIN CELLARS, INC.",CRYSTAL BASIN CELLARS,3550 CARSON RD,CAMINO,CA,95667,9330,EL DORADO,38.740478,-120.698537
CA-W-3245,"SUMMERWOOD WINERY & INN, INC.",SUMMERWOOD,2175 ARBOR RD,PASO ROBLES,CA,93446,8620,SAN LUIS OBISPO,35.584308,-120.71622
CA-W-3246,NICHOLAS P. PALUMBO,PALUMBO FAMILY VINEYARDS & WINERY,40150 BARKSDALE LN,TEMECULA,CA,92592,9122,RIVERSIDE,33.541815,-117.034745
CA-W-3247,"LUCCHESI VINEYARDS & WINERY, INC.",,19698 VIEW FOREVER LN,GRASS VALLEY,CA,95945,8883,NEVADA,39.164295,-121.025392
CA-W-3248,"RAMEY WINE CELLARS, INC.",RAMEY WINE CELLARS,202 HAYDON ST,HEALDSBURG,CA,95448,4410,SONOMA,38.608443,-122.867423
CA-W-3250,ALAN JAMES ESTRADA AND SANDRA LYN ESTRADA,ELK PRAIRIE VINEYARD,11544 DYERVILLE LOOP RD,MYERS FLAT,CA,95554,9502,HUMBOLDT,40.286568,-123.801564
CA-W-3252,CROCKER AND STARR WINE COMPANY LLC,CROCKER AND STARR WINERY,"7830-40 ST. HELENA HWY, SUITE 24",OAKVILLE,CA,94558,0000,NAPA,38.436109,-122.396589
CA-W-3253,ARTHUR ROBERT KOTH & MARY LOUISE KOTH,MOKELUMNE GLEN VINEYARDS,17347 E GAWNE RD,STOCKTON,CA,95215,9646,SAN JOAQUIN,37.894733,-121.101177
CA-W-3254,"QUOVIUS, INC.","SALERNO HEALDSBURG ESTATE WINERY, D.O.M.",1441 GROVE ST,HEALDSBURG,CA,95448,4711,SONOMA,38.630088,-122.87715
CA-W-3256,"S&R ASSOCIATES, LLC",MATCH VINEYARDS,110 CAMINO ORUGA,NAPA,CA,94558,1111,NAPA,38.229092,-122.255737
CA-W-3257,"CEDAR KNOLL VINEYARDS, INC.",CEDAR KNOLL VINEYARDS,4029 HAGEN RD,NAPA,CA,94558,3818,NAPA,38.322399,-122.2264
CA-W-3258,THOMAS O. BROWN,,2875 LARSEN DR,CAMINO,CA,95709,9790,EL DORADO,38.740234,-120.674969
CA-W-3259,HILL-MAR LLC,ILLUMINARE ESTATE,3500 CARSON RD,CAMINO,CA,95709,0000,EL DORADO,38.7401613,-120.7015075
CA-W-3262,"FERNWOOD CELLARS, INC.",,7137 REDWOOD RETREAT RD,GILROY,CA,95020,9432,SANTA CLARA,37.043944,-121.715145
CA-W-3263,"CLOS PEGASE WINERY, INC.",,1060 DUNAWEAL LN,CALISTOGA,CA,94515,9798,NAPA,38.572686,-122.555038
CA-W-3264,ALHONA VINEYARDS LLC,ALHONA VINEYARDS,19356 CACHAGUA RD,CARMEL VALLEY,CA,93924,9002,MONTEREY,36.3964076,-121.6487046
CA-W-3265,"FRANCISCAN VINEYARDS, INC.",RAVENSWOOD WINERY,18701 GEHRICKE RD,SONOMA,CA,95476,4710,SONOMA,38.301596,-122.441859
CA-W-3266,"FRANCISCAN VINEYARDS, INC.",RAVENSWOOD WINERY,26200 ARNOLD DR,SONOMA,CA,95476,9288,SONOMA,38.183859,-122.441013
CA-W-3267,"STEPHAN VINEYARDS, INC.",STEPHAN VINEYARDS,2815 LIVE OAK RD,PASO ROBLES,CA,93446,9693,SAN LUIS OBISPO,35.589586,-120.723996
CA-W-3273,"FIDDLEHEAD CELLARS, LP",FIDDLEHEAD CELLARS,1597 E CHESTNUT AVE,LOMPOC,CA,93436,4942,SANTA BARBARA,34.64211,-120.4402967
CA-W-3274,CALIFORNIA CONCENTRATE CO.,,18678 N HIGHWAY 99,ACAMPO,CA,95220,9557,SAN JOAQUIN,38.152562,-121.260602
CA-W-3275,"GAMBA VINEYARDS AND WINERY, LLC",,2912 WOOLSEY RD,WINDSOR,CA,95401,9647,SONOMA,38.484246,-122.796134
CA-W-3277,MARGARET J. WIERENGA,BROGAN CELLARS,12910 HIGHWAY 101,HOPLAND,CA,95482,0000,MENDOCINO,38.9794275,-123.115865
CA-W-3278,JOHN BRODERSEN,LONGSHADOW RANCH,39847 CALLE CONTENTO,TEMECULA,CA,92591,5039,RIVERSIDE,33.5273381,-117.1147095
CA-W-3279,"GUSTAVO THRACE, A LIMITED LIABILITY COMPANY",GUSTAVO THRACE,902 ENTERPRISE WAY,NAPA,CA,94558,0000,NAPA,38.257952,-122.272124
CA-W-3280,OAK ARBOR WINERY,,8001 HIGHWAY 128,PHILO,CA,95466,0000,MENDOCINO,39.1173837,-123.4607744
CA-W-3283,BRUCE EDWIN HANSEN,HANSEN VINEYARD,5575 EL POMAR DR,TEMPLETON,CA,93465,8555,SAN LUIS OBISPO,35.548412,-120.597731
CA-W-3284,"BRYANT VINEYARDS, LTD.",BRYANT FAMILY VINEYARD,1567 SAGE CANYON RD,SAINT HELENA,CA,94574,9628,NAPA,38.4921225,-122.3431825
CA-W-3285,"BLUE MOON CELLARS, LTD.",BLUE MOON CELLARS,2115 S BLOSSER,SANTA MARIA,CA,93458,0000,SANTA BARBARA,34.9220121,-120.4538698
CA-W-3287,CARLISLE WINERY & VINEYARDS LLC,CARLISLE WINERY,1160 HOPPER AVE,SANTA ROSA,CA,95403,1651,SONOMA,38.47874,-122.74086
CA-W-3290,KAREN L. KANSKY & LAWRENCE E. HOGAN,STONE PINE ESTATE,2717 AVIATION WAY,SANTA MARIA,CA,93455,1505,SANTA BARBARA,34.91023,-120.450199
CA-W-3291,"DERBES, LLC",DERBES WINES,227 TREADWAY DR,CLOVERDALE,CA,95425,0000,SONOMA,38.782852,-123.01499
CA-W-3293,"THE BREMER GROUP, LLC",,975 DEER PARK RD,SAINT HELENA,CA,94574,9527,NAPA,38.550753,-122.46988
CA-W-3294,KONGSGAARD WINE LLC,,4375 ATLAS PEAK RD,NAPA,CA,94558,9398,NAPA,38.437304,-122.245345
CA-W-3296,"SANTA BARBARA WINE PARTNERS, LLC.",,2717 AVIATION WAY,SANTA MARIA,CA,93455,1505,SANTA BARBARA,34.91023,-120.450199
CA-W-3298,DIAGEO CHATEAU & ESTATE WINES COMPANY,PROVENANCE VINEYARDS,1695 SAINT HELENA HWY,RUTHERFORD,CA,94574,0000,NAPA,38.4689176,-122.4303761
CA-W-3299,THE WINE GROUP LLC,CONCANNON VINEYARD,4590 TESLA RD,LIVERMORE,CA,94550,9002,ALAMEDA,37.6651646,-121.7411836
CA-W-3300,"AMERICAN BEVERAGE GROUP, INC.",,613 2ND ST,PETALUMA,CA,94952,5123,SONOMA,38.231081,-122.6310782
CA-W-3301,"FRUITFUL ENDEAVOR, LLC",,25500 RIVER RD,CLOVERDALE,CA,95425,4300,SONOMA,38.7669537,-122.9684497
CA-W-3302,EDWARD BRADY,SPLENDORA VINEYARDS,1525 GUMVIEW RD,WINDSOR,CA,95492,9427,SONOMA,38.556553,-122.8365901
CA-W-3304,"HERMAN EHLERS & SONS, INC.",E2 FAMILY WINERY,9301 W STATE ROUTE 12,LODI,CA,95242,0000,SAN JOAQUIN,38.140714,-121.444498
CA-W-3305,"PREMIERE VENDANGE PARTNERS, LLC",REALM CELLARS,3468 SILVERADO TRAIL,SAINT HELENA,CA,94574,0000,NAPA,38.544529,-122.487983
CA-W-3306,"PARKER STATION, INC.",PARKER STATION,2643 INDUSTRIAL PKWY,SANTA MARIA,CA,93455,1534,SANTA BARBARA,34.910988,-120.447801
CA-W-3308,"PASO ROBLES WINE SERVICES, LLC",PASO ROBLES WINE SERVICES,6305 BUENA VISTA  DR,PASO ROBLES,CA,93446,0000,SAN LUIS OBISPO,35.6737876,-120.6430709
CA-W-3309,"OAK RIDGE WINERY, LLC",,6100 E VICTOR RD,LODI,CA,95240,0804,SAN JOAQUIN,38.1367059,-121.241806
CA-W-3312,"DANIEL GEHRS WINES, LLC",DANIEL GEHRS WINES,35 & 70 INDUSTRIAL WAY,BUELLTON,CA,93427,0000,SANTA BARBARA,34.609829,-120.202025
CA-W-3313,"BART ENTERPRISES, INCORPORATED",,6015 STEELE CANYON RD,NAPA,CA,94558,9634,NAPA,38.5144304,-122.1933293
CA-W-3314,"AVATAR VINTNERS, INC.",,1006 MONTICELLO RD,NAPA,CA,94558,0000,NAPA,38.329064,-122.274478
CA-W-3316,HOLLIS RAE HARMAN & ERIC BERNARD LEVIN,LE VIN WINERY & VINEYARDS,33151 HIGHWAY 128,YORKVILLE,CA,95494,0000,MENDOCINO,38.9004765,-123.3261671
CA-W-3317,WAYNE & BARBARA PROCISSI,PROCISSI CELLAR,7505 GRIZZLY FLAT RD,SOMERSET,CA,95684,0000,EL DORADO,38.633154,-120.624525
CA-W-3319,MOHAMED A. KARAH,WINDY HILL ESTATE WINERY,1010 W RAILROAD AVE,COTATI,CA,94931,9626,SONOMA,38.3038524,-122.7080346
CA-W-3321,RICHARD & MARY KAY ALFARO,ALFARO FAMILY FARM & VINEYARDS,496 HAMES RD,CORRALITOS,CA,95076,0252,SANTA CRUZ,36.9914545,-121.8223034
CA-W-3322,SALISBURY VINEYARDS,,1945 SEE CANYON RD,SAN LUIS OBISPO,CA,93405,8023,SAN LUIS OBISPO,35.207384,-120.718164
CA-W-3324,"GREEN FAMILY WINERY, LLC.",PAINT HORSE RANCH,16510 ARNOLD DR,SONOMA,CA,95442,3252,SONOMA,38.324381,-122.507338
CA-W-3325,"K C VINTNERS, LLC",,1765 TRIMBLE LN,CLOVERDALE,CA,95425,3565,SONOMA,38.7937749,-122.987633
CA-W-3326,E. & J. GALLO WINERY,LOUIS M. MARTINI WINERY,254 SAINT HELENA HWY S,SAINT HELENA,CA,94574,2203,NAPA,38.492298,-122.452005
CA-W-3329,JERICHO CANYON VINEYARDS LLC.,JERICHO CANYON VINEYARDS,3292 OLD LAWLEY TOLL RD,CALISTOGA,CA,94515,9744,NAPA,38.6211195,-122.5879773
CA-W-3331,"L & J WINES, LLC",L & J WINES,5055 SOLANO AVE,NAPA,CA,94558,1326,NAPA,38.354883,-122.334287
CA-W-3332,AMIZETTA VINEYARDS WINERY LLC,AMIZETTA VINEYARDS WINERY,1099 GREENFIELD RD,SAINT HELENA,CA,94574,9625,NAPA,38.521108,-122.380766
CA-W-3333,STEPHEN L. GOLDMAN & LORI C. STONE,STEPHEN'S CELLARS,7575 YORK MOUNTAIN RD,TEMPLETON,CA,93465,9300,SAN LUIS OBISPO,35.5436227,-120.8247743
CA-W-3334,"POPE VALLEY WINERY, LLC",POPE VALLEY WINERY,6613 POPE VALLEY RD,POPE VALLEY,CA,94567,9409,NAPA,38.632516,-122.45349
